source_model,target_model,sample_id,source_layer,target_layer,source_layer_name,target_layer_name,cka,transferable,n_samples
Standard,Rice2020Overfitting,-1,5,3,block3.layer.1.conv1,block2.layer.0.convShortcut,0.6057630777359009,0,52
Standard,Rice2020Overfitting,-1,5,4,block3.layer.1.conv1,block2.layer.3.conv2,0.6720141768455505,0,52
Standard,Rice2020Overfitting,-1,5,5,block3.layer.1.conv1,block3.layer.1.conv2,0.6669243574142456,0,52
Standard,Rice2020Overfitting,-1,5,6,block3.layer.1.conv1,fc,0.31801435351371765,0,52
Standard,Rice2020Overfitting,-1,6,1,fc,conv1,0.2175794541835785,0,52
Standard,Rice2020Overfitting,-1,6,2,fc,block1.layer.2.conv2,0.29678502678871155,0,52
Standard,Rice2020Overfitting,-1,6,3,fc,block2.layer.0.convShortcut,0.2563934028148651,0,52
Standard,Rice2020Overfitting,-1,6,4,fc,block2.layer.3.conv2,0.25296705961227417,0,52
Standard,Rice2020Overfitting,-1,6,5,fc,block3.layer.1.conv2,0.28266972303390503,0,52
Standard,Rice2020Overfitting,-1,6,6,fc,fc,0.18899734318256378,0,52
Engstrom2019Robustness,Standard,-1,1,1,conv1,conv1,0.9688194990158081,1,9
Engstrom2019Robustness,Standard,-1,1,2,conv1,block1.layer.2.conv1,0.825346052646637,1,9
Engstrom2019Robustness,Standard,-1,1,3,conv1,block2.layer.0.conv2,0.8673676252365112,1,9
Engstrom2019Robustness,Standard,-1,1,4,conv1,block2.layer.3.conv1,0.8570919632911682,1,9
Engstrom2019Robustness,Standard,-1,1,5,conv1,block3.layer.1.conv1,0.8377851247787476,1,9
Engstrom2019Robustness,Standard,-1,1,6,conv1,fc,0.6429724097251892,1,9
Engstrom2019Robustness,Standard,-1,2,1,layer2.0.conv1,conv1,0.9576535820960999,1,9
Engstrom2019Robustness,Standard,-1,2,2,layer2.0.conv1,block1.layer.2.conv1,0.976449191570282,1,9
Engstrom2019Robustness,Standard,-1,2,3,layer2.0.conv1,block2.layer.0.conv2,0.9861094355583191,1,9
Engstrom2019Robustness,Standard,-1,2,4,layer2.0.conv1,block2.layer.3.conv1,0.9778645634651184,1,9
Engstrom2019Robustness,Standard,-1,2,5,layer2.0.conv1,block3.layer.1.conv1,0.944453239440918,1,9
Engstrom2019Robustness,Standard,-1,2,6,layer2.0.conv1,fc,0.6581906080245972,1,9
Engstrom2019Robustness,Standard,-1,3,1,layer2.3.conv1,conv1,0.9352737069129944,1,9
Engstrom2019Robustness,Standard,-1,3,2,layer2.3.conv1,block1.layer.2.conv1,0.9589446783065796,1,9
Engstrom2019Robustness,Standard,-1,3,3,layer2.3.conv1,block2.layer.0.conv2,0.9806604981422424,1,9
Engstrom2019Robustness,Standard,-1,3,4,layer2.3.conv1,block2.layer.3.conv1,0.9634329676628113,1,9
Engstrom2019Robustness,Standard,-1,3,5,layer2.3.conv1,block3.layer.1.conv1,0.9267075657844543,1,9
Engstrom2019Robustness,Standard,-1,3,6,layer2.3.conv1,fc,0.6417196989059448,1,9
Engstrom2019Robustness,Standard,-1,4,1,layer3.2.conv2,conv1,0.9058928489685059,1,9
Engstrom2019Robustness,Standard,-1,4,2,layer3.2.conv2,block1.layer.2.conv1,0.9300157427787781,1,9
Engstrom2019Robustness,Standard,-1,4,3,layer3.2.conv2,block2.layer.0.conv2,0.9545857310295105,1,9
Engstrom2019Robustness,Standard,-1,4,4,layer3.2.conv2,block2.layer.3.conv1,0.9347532391548157,1,9
Engstrom2019Robustness,Standard,-1,4,5,layer3.2.conv2,block3.layer.1.conv1,0.9109584093093872,1,9
Engstrom2019Robustness,Standard,-1,4,6,layer3.2.conv2,fc,0.6012654304504395,1,9
Engstrom2019Robustness,Standard,-1,5,1,layer3.5.conv3,conv1,0.8918524384498596,1,9
Engstrom2019Robustness,Standard,-1,5,2,layer3.5.conv3,block1.layer.2.conv1,0.9268827438354492,1,9
Engstrom2019Robustness,Standard,-1,5,3,layer3.5.conv3,block2.layer.0.conv2,0.9418120384216309,1,9
Engstrom2019Robustness,Standard,-1,5,4,layer3.5.conv3,block2.layer.3.conv1,0.931226909160614,1,9
Engstrom2019Robustness,Standard,-1,5,5,layer3.5.conv3,block3.layer.1.conv1,0.9369649291038513,1,9
Engstrom2019Robustness,Standard,-1,5,6,layer3.5.conv3,fc,0.6417660713195801,1,9
Engstrom2019Robustness,Standard,-1,6,1,linear,conv1,0.6203723549842834,1,9
Engstrom2019Robustness,Standard,-1,6,2,linear,block1.layer.2.conv1,0.4673079550266266,1,9
Engstrom2019Robustness,Standard,-1,6,3,linear,block2.layer.0.conv2,0.4696698784828186,1,9
Engstrom2019Robustness,Standard,-1,6,4,linear,block2.layer.3.conv1,0.4864358603954315,1,9
Engstrom2019Robustness,Standard,-1,6,5,linear,block3.layer.1.conv1,0.5102300047874451,1,9
Engstrom2019Robustness,Standard,-1,6,6,linear,fc,0.5986461639404297,1,9
Engstrom2019Robustness,Standard,-1,1,1,conv1,conv1,0.8972871899604797,0,17
Engstrom2019Robustness,Standard,-1,1,2,conv1,block1.layer.2.conv1,0.681801438331604,0,17
Engstrom2019Robustness,Standard,-1,1,3,conv1,block2.layer.0.conv2,0.6918525695800781,0,17
Engstrom2019Robustness,Standard,-1,1,4,conv1,block2.layer.3.conv1,0.6948948502540588,0,17
Engstrom2019Robustness,Standard,-1,1,5,conv1,block3.layer.1.conv1,0.6145111918449402,0,17
Engstrom2019Robustness,Standard,-1,1,6,conv1,fc,0.4390343129634857,0,17
Engstrom2019Robustness,Standard,-1,2,1,layer2.0.conv1,conv1,0.9188430309295654,0,17
Engstrom2019Robustness,Standard,-1,2,2,layer2.0.conv1,block1.layer.2.conv1,0.9258344769477844,0,17
Engstrom2019Robustness,Standard,-1,2,3,layer2.0.conv1,block2.layer.0.conv2,0.9451404213905334,0,17
Engstrom2019Robustness,Standard,-1,2,4,layer2.0.conv1,block2.layer.3.conv1,0.930782675743103,0,17
